date,Amazon
2012-01-01,99
2012-01-02,98
2012-01-03,91
2012-01-04,98
2012-01-05,88
2012-01-06,81
2012-01-07,92
2012-01-08,100
2012-01-09,82
2012-01-10,80
2012-01-11,97
2012-01-12,79
2012-01-13,80
2012-01-14,90
2012-01-15,84
2012-01-16,83
2012-01-17,83
2012-01-18,78
2012-01-19,92
2012-01-20,86
2012-01-21,87
2012-01-22,92
2012-01-23,82
2012-01-24,70
2012-01-25,80
2012-01-26,75
2012-01-27,70
2012-01-28,84
2012-01-29,85
2012-01-30,82
2012-01-31,78
2012-02-01,93
2012-02-02,94
2012-02-03,90
2012-02-04,92
2012-02-05,95
2012-02-06,87
2012-02-07,98
2012-02-08,99
2012-02-09,92
2012-02-10,90
2012-02-11,92
2012-02-12,94
2012-02-13,85
2012-02-14,80
2012-02-15,100
2012-02-16,93
2012-02-17,83
2012-02-18,92
2012-02-19,96
2012-02-20,98
2012-02-21,92
2012-02-22,100
2012-02-23,90
2012-02-24,84
2012-02-25,96
2012-02-26,97
2012-02-27,93
2012-02-28,90
2012-02-29,98
2012-03-01,81
2012-03-02,84
2012-03-03,79
2012-03-04,93
2012-03-05,85
2012-03-06,81
2012-03-07,92
2012-03-08,90
2012-03-09,81
2012-03-10,90
2012-03-11,90
2012-03-12,100
2012-03-13,87
2012-03-14,88
2012-03-15,91
2012-03-16,87
2012-03-17,88
2012-03-18,90
2012-03-19,80
2012-03-20,92
2012-03-21,96
2012-03-22,86
2012-03-23,86
2012-03-24,77
2012-03-25,82
2012-03-26,72
2012-03-27,71
2012-03-28,88
2012-03-29,90
2012-03-30,78
2012-03-31,85
2012-04-01,86
2012-04-02,99
2012-04-03,89
2012-04-04,97
2012-04-05,100
2012-04-06,89
2012-04-07,82
2012-04-08,95
2012-04-09,83
2012-04-10,93
2012-04-11,97
2012-04-12,90
2012-04-13,91
2012-04-14,82
2012-04-15,87
2012-04-16,90
2012-04-17,95
2012-04-18,88
2012-04-19,85
2012-04-20,80
2012-04-21,89
2012-04-22,93
2012-04-23,96
2012-04-24,98
2012-04-25,86
2012-04-26,89
2012-04-27,95
2012-04-28,96
2012-04-29,92
2012-04-30,89
2012-05-01,95
2012-05-02,85
2012-05-03,87
2012-05-04,94
2012-05-05,98
2012-05-06,96
2012-05-07,97
2012-05-08,92
2012-05-09,89
2012-05-10,87
2012-05-11,82
2012-05-12,83
2012-05-13,77
2012-05-14,86
2012-05-15,100
2012-05-16,81
2012-05-17,88
2012-05-18,89
2012-05-19,87
2012-05-20,83
2012-05-21,77
2012-05-22,74
2012-05-23,81
2012-05-24,85
2012-05-25,67
2012-05-26,95
2012-05-27,80
2012-05-28,80
2012-05-29,81
2012-05-30,82
2012-05-31,84
2012-06-01,79
2012-06-02,77
2012-06-03,89
2012-06-04,74
2012-06-05,81
2012-06-06,77
2012-06-07,79
2012-06-08,81
2012-06-09,98
2012-06-10,91
2012-06-11,91
2012-06-12,98
2012-06-13,93
2012-06-14,87
2012-06-15,79
2012-06-16,98
2012-06-17,81
2012-06-18,88
2012-06-19,84
2012-06-20,89
2012-06-21,91
2012-06-22,83
2012-06-23,91
2012-06-24,76
2012-06-25,88
2012-06-26,89
2012-06-27,82
2012-06-28,93
2012-06-29,100
2012-06-30,99
2012-07-01,96
2012-07-02,80
2012-07-03,86
2012-07-04,79
2012-07-05,78
2012-07-06,88
2012-07-07,89
2012-07-08,92
2012-07-09,91
2012-07-10,100
2012-07-11,90
2012-07-12,87
2012-07-13,76
2012-07-14,94
2012-07-15,89
2012-07-16,82
2012-07-17,84
2012-07-18,89
2012-07-19,92
2012-07-20,78
2012-07-21,92
2012-07-22,87
2012-07-23,79
2012-07-24,89
2012-07-25,85
2012-07-26,72
2012-07-27,81
2012-07-28,90
2012-07-29,94
2012-07-30,85
2012-07-31,84
2012-08-01,80
2012-08-02,74
2012-08-03,80
2012-08-04,77
2012-08-05,75
2012-08-06,77
2012-08-07,81
2012-08-08,79
2012-08-09,80
2012-08-10,85
2012-08-11,80
2012-08-12,72
2012-08-13,81
2012-08-14,87
2012-08-15,82
2012-08-16,81
2012-08-17,72
2012-08-18,73
2012-08-19,79
2012-08-20,78
2012-08-21,85
2012-08-22,95
2012-08-23,86
2012-08-24,80
2012-08-25,87
2012-08-26,85
2012-08-27,84
2012-08-28,77
2012-08-29,86
2012-08-30,100
2012-08-31,93
2012-09-01,71
2012-09-02,64
2012-09-03,73
2012-09-04,76
2012-09-05,77
2012-09-06,88
2012-09-07,82
2012-09-08,77
2012-09-09,75
2012-09-10,69
2012-09-11,82
2012-09-12,86
2012-09-13,89
2012-09-14,88
2012-09-15,84
2012-09-16,76
2012-09-17,77
2012-09-18,77
2012-09-19,87
2012-09-20,72
2012-09-21,83
2012-09-22,100
2012-09-23,86
2012-09-24,85
2012-09-25,91
2012-09-26,79
2012-09-27,85
2012-09-28,82
2012-09-29,85
2012-09-30,83
2012-10-01,88
2012-10-02,90
2012-10-03,92
2012-10-04,84
2012-10-05,88
2012-10-06,98
2012-10-07,96
2012-10-08,89
2012-10-09,82
2012-10-10,90
2012-10-11,81
2012-10-12,81
2012-10-13,80
2012-10-14,90
2012-10-15,85
2012-10-16,89
2012-10-17,79
2012-10-18,91
2012-10-19,86
2012-10-20,82
2012-10-21,89
2012-10-22,94
2012-10-23,91
2012-10-24,96
2012-10-25,93
2012-10-26,92
2012-10-27,91
2012-10-28,100
2012-10-29,90
2012-10-30,93
2012-10-31,92
2012-11-01,68
2012-11-02,70
2012-11-03,69
2012-11-04,73
2012-11-05,69
2012-11-06,61
2012-11-07,60
2012-11-08,68
2012-11-09,60
2012-11-10,66
2012-11-11,76
2012-11-12,72
2012-11-13,71
2012-11-14,68
2012-11-15,65
2012-11-16,65
2012-11-17,69
2012-11-18,69
2012-11-19,66
2012-11-20,74
2012-11-21,69
2012-11-22,75
2012-11-23,100
2012-11-24,86
2012-11-25,96
2012-11-26,96
2012-11-27,90
2012-11-28,84
