date,Apple
2012-01-01,86
2012-01-02,100
2012-01-03,83
2012-01-04,87
2012-01-05,80
2012-01-06,83
2012-01-07,88
2012-01-08,82
2012-01-09,76
2012-01-10,75
2012-01-11,73
2012-01-12,68
2012-01-13,76
2012-01-14,81
2012-01-15,82
2012-01-16,75
2012-01-17,71
2012-01-18,67
2012-01-19,72
2012-01-20,74
2012-01-21,80
2012-01-22,77
2012-01-23,67
2012-01-24,66
2012-01-25,72
2012-01-26,68
2012-01-27,69
2012-01-28,73
2012-01-29,76
2012-01-30,70
2012-01-31,67
2012-02-01,90
2012-02-02,85
2012-02-03,90
2012-02-04,98
2012-02-05,93
2012-02-06,84
2012-02-07,89
2012-02-08,86
2012-02-09,89
2012-02-10,88
2012-02-11,97
2012-02-12,98
2012-02-13,85
2012-02-14,81
2012-02-15,87
2012-02-16,95
2012-02-17,91
2012-02-18,100
2012-02-19,98
2012-02-20,90
2012-02-21,87
2012-02-22,87
2012-02-23,86
2012-02-24,91
2012-02-25,94
2012-02-26,93
2012-02-27,85
2012-02-28,84
2012-02-29,95
2012-03-01,26
2012-03-02,27
2012-03-03,29
2012-03-04,28
2012-03-05,28
2012-03-06,28
2012-03-07,100
2012-03-08,70
2012-03-09,41
2012-03-10,39
2012-03-11,36
2012-03-12,31
2012-03-13,30
2012-03-14,31
2012-03-15,33
2012-03-16,40
2012-03-17,37
2012-03-18,36
2012-03-19,33
2012-03-20,32
2012-03-21,30
2012-03-22,28
2012-03-23,31
2012-03-24,30
2012-03-25,30
2012-03-26,28
2012-03-27,26
2012-03-28,26
2012-03-29,25
2012-03-30,27
2012-03-31,28
2012-04-01,99
2012-04-02,86
2012-04-03,87
2012-04-04,93
2012-04-05,90
2012-04-06,100
2012-04-07,100
2012-04-08,95
2012-04-09,92
2012-04-10,89
2012-04-11,93
2012-04-12,90
2012-04-13,85
2012-04-14,93
2012-04-15,94
2012-04-16,82
2012-04-17,84
2012-04-18,83
2012-04-19,85
2012-04-20,86
2012-04-21,94
2012-04-22,94
2012-04-23,84
2012-04-24,84
2012-04-25,82
2012-04-26,85
2012-04-27,84
2012-04-28,90
2012-04-29,92
2012-04-30,84
2012-05-01,95
2012-05-02,90
2012-05-03,86
2012-05-04,89
2012-05-05,99
2012-05-06,98
2012-05-07,88
2012-05-08,94
2012-05-09,92
2012-05-10,92
2012-05-11,96
2012-05-12,100
2012-05-13,98
2012-05-14,91
2012-05-15,94
2012-05-16,86
2012-05-17,96
2012-05-18,91
2012-05-19,87
2012-05-20,94
2012-05-21,87
2012-05-22,86
2012-05-23,88
2012-05-24,86
2012-05-25,87
2012-05-26,92
2012-05-27,92
2012-05-28,84
2012-05-29,88
2012-05-30,95
2012-05-31,88
2012-06-01,42
2012-06-02,45
2012-06-03,47
2012-06-04,42
2012-06-05,43
2012-06-06,42
2012-06-07,43
2012-06-08,41
2012-06-09,45
2012-06-10,47
2012-06-11,100
2012-06-12,88
2012-06-13,60
2012-06-14,53
2012-06-15,52
2012-06-16,53
2012-06-17,52
2012-06-18,48
2012-06-19,48
2012-06-20,46
2012-06-21,45
2012-06-22,46
2012-06-23,49
2012-06-24,50
2012-06-25,46
2012-06-26,45
2012-06-27,47
2012-06-28,44
2012-06-29,44
2012-06-30,47
2012-07-01,96
2012-07-02,85
2012-07-03,82
2012-07-04,83
2012-07-05,85
2012-07-06,82
2012-07-07,84
2012-07-08,87
2012-07-09,84
2012-07-10,86
2012-07-11,87
2012-07-12,84
2012-07-13,83
2012-07-14,85
2012-07-15,93
2012-07-16,82
2012-07-17,83
2012-07-18,87
2012-07-19,86
2012-07-20,80
2012-07-21,88
2012-07-22,87
2012-07-23,87
2012-07-24,88
2012-07-25,98
2012-07-26,100
2012-07-27,90
2012-07-28,89
2012-07-29,91
2012-07-30,92
2012-07-31,90
2012-08-01,86
2012-08-02,85
2012-08-03,84
2012-08-04,87
2012-08-05,87
2012-08-06,82
2012-08-07,87
2012-08-08,89
2012-08-09,86
2012-08-10,79
2012-08-11,87
2012-08-12,92
2012-08-13,87
2012-08-14,86
2012-08-15,82
2012-08-16,86
2012-08-17,90
2012-08-18,89
2012-08-19,91
2012-08-20,93
2012-08-21,90
2012-08-22,90
2012-08-23,84
2012-08-24,86
2012-08-25,100
2012-08-26,97
2012-08-27,93
2012-08-28,98
2012-08-29,99
2012-08-30,90
2012-08-31,88
2012-09-01,18
2012-09-02,18
2012-09-03,18
2012-09-04,19
2012-09-05,19
2012-09-06,18
2012-09-07,18
2012-09-08,20
2012-09-09,19
2012-09-10,19
2012-09-11,21
2012-09-12,100
2012-09-13,65
2012-09-14,43
2012-09-15,32
2012-09-16,27
2012-09-17,24
2012-09-18,24
2012-09-19,28
2012-09-20,31
2012-09-21,35
2012-09-22,35
2012-09-23,31
2012-09-24,28
2012-09-25,26
2012-09-26,26
2012-09-27,25
2012-09-28,26
2012-09-29,28
2012-09-30,26
2012-10-01,44
2012-10-02,44
2012-10-03,44
2012-10-04,40
2012-10-05,45
2012-10-06,48
2012-10-07,46
2012-10-08,39
2012-10-09,38
2012-10-10,39
2012-10-11,38
2012-10-12,39
2012-10-13,42
2012-10-14,42
2012-10-15,37
2012-10-16,38
2012-10-17,37
2012-10-18,37
2012-10-19,36
2012-10-20,41
2012-10-21,40
2012-10-22,39
2012-10-23,100
2012-10-24,80
2012-10-25,53
2012-10-26,58
2012-10-27,50
2012-10-28,44
2012-10-29,41
2012-10-30,42
2012-10-31,40
2012-11-01,60
2012-11-02,68
2012-11-03,68
2012-11-04,67
2012-11-05,59
2012-11-06,52
2012-11-07,50
2012-11-08,53
2012-11-09,55
2012-11-10,61
2012-11-11,61
2012-11-12,55
2012-11-13,55
2012-11-14,53
2012-11-15,56
2012-11-16,52
2012-11-17,57
2012-11-18,60
2012-11-19,55
2012-11-20,54
2012-11-21,57
2012-11-22,62
2012-11-23,100
2012-11-24,72
2012-11-25,62
2012-11-26,64
2012-11-27,59
2012-11-28,56
2012-11-29,57
2012-11-30,61
2012-12-01,68
2012-12-02,67
2012-12-03,62
2012-12-04,62
2012-12-05,62
2012-12-06,62
2012-12-07,61
2012-12-08,71
2012-12-09,67
2012-12-10,64
2012-12-11,63
2012-12-12,62
2012-12-13,62
2012-12-14,62
2012-12-15,69
2012-12-16,69
2012-12-17,66
2012-12-18,63
2012-12-19,63
2012-12-20,60
2012-12-21,60
2012-12-22,70
2012-12-23,68
2012-12-24,70
2012-12-25,100
2012-12-26,94
2012-12-27,77
2012-12-28,72
2012-12-29,73
2012-12-30,70
2012-12-31,62
2013-01-01,100
2013-01-02,98
2013-01-03,94
2013-01-04,91
2013-01-05,92
2013-01-06,90
2013-01-07,83
2013-01-08,78
2013-01-09,80
2013-01-10,77
2013-01-11,75
2013-01-12,82
2013-01-13,81
2013-01-14,76
2013-01-15,74
2013-01-16,69
2013-01-17,68
2013-01-18,73
2013-01-19,80
2013-01-20,78
2013-01-21,73
2013-01-22,71
2013-01-23,69
2013-01-24,79
2013-01-25,76
2013-01-26,78
2013-01-27,76
2013-01-28,73
2013-01-29,79
2013-01-30,75
2013-01-31,73
2013-02-01,91
2013-02-02,100
2013-02-03,100
2013-02-04,87
2013-02-05,89
2013-02-06,89
2013-02-07,84
2013-02-08,90
2013-02-09,98
2013-02-10,98
2013-02-11,87
2013-02-12,88
2013-02-13,91
2013-02-14,89
2013-02-15,83
2013-02-16,95
2013-02-17,97
2013-02-18,85
2013-02-19,82
2013-02-20,85
2013-02-21,84
2013-02-22,85
2013-02-23,96
2013-02-24,97
2013-02-25,77
2013-02-26,77
2013-02-27,83
2013-02-28,82
2013-03-01,90
2013-03-02,100
2013-03-03,99
2013-03-04,89
2013-03-05,82
2013-03-06,85
2013-03-07,84
2013-03-08,86
2013-03-09,92
2013-03-10,91
2013-03-11,86
2013-03-12,86
2013-03-13,81
2013-03-14,84
2013-03-15,82
2013-03-16,91
2013-03-17,95
2013-03-18,85
2013-03-19,85
2013-03-20,88
2013-03-21,84
2013-03-22,85
2013-03-23,99
2013-03-24,98
2013-03-25,87
2013-03-26,83
2013-03-27,88
2013-03-28,83
2013-03-29,88
2013-03-30,93
2013-03-31,91
2013-04-01,97
2013-04-02,92
2013-04-03,87
2013-04-04,90
2013-04-05,91
2013-04-06,98
2013-04-07,96
2013-04-08,88
2013-04-09,85
2013-04-10,86
2013-04-11,87
2013-04-12,91
2013-04-13,100
2013-04-14,92
2013-04-15,84
2013-04-16,86
2013-04-17,86
2013-04-18,82
2013-04-19,84
2013-04-20,91
2013-04-21,94
2013-04-22,83
2013-04-23,93
2013-04-24,88
2013-04-25,81
2013-04-26,83
2013-04-27,90
2013-04-28,92
2013-04-29,87
2013-04-30,79
2013-05-01,89
2013-05-02,80
2013-05-03,91
2013-05-04,91
2013-05-05,94
2013-05-06,88
2013-05-07,88
2013-05-08,83
2013-05-09,92
2013-05-10,87
2013-05-11,100
2013-05-12,94
2013-05-13,93
2013-05-14,90
2013-05-15,91
2013-05-16,86
2013-05-17,86
2013-05-18,93
2013-05-19,94
2013-05-20,93
2013-05-21,84
2013-05-22,88
2013-05-23,83
2013-05-24,85
2013-05-25,93
2013-05-26,92
2013-05-27,87
2013-05-28,88
2013-05-29,85
2013-05-30,91
2013-05-31,92
2013-06-01,37
2013-06-02,40
2013-06-03,36
2013-06-04,33
2013-06-05,35
2013-06-06,34
2013-06-07,36
2013-06-08,37
2013-06-09,42
2013-06-10,100
2013-06-11,82
2013-06-12,54
2013-06-13,46
2013-06-14,44
2013-06-15,46
2013-06-16,44
2013-06-17,39
2013-06-18,39
2013-06-19,38
2013-06-20,39
2013-06-21,39
2013-06-22,42
2013-06-23,43
2013-06-24,40
2013-06-25,39
2013-06-26,38
2013-06-27,37
2013-06-28,39
2013-06-29,42
2013-06-30,39
2013-07-01,93
2013-07-02,93
2013-07-03,93
2013-07-04,93
2013-07-05,91
2013-07-06,95
2013-07-07,97
2013-07-08,94
2013-07-09,100
2013-07-10,99
2013-07-11,92
2013-07-12,95
2013-07-13,95
2013-07-14,89
2013-07-15,94
2013-07-16,92
2013-07-17,91
2013-07-18,91
2013-07-19,92
2013-07-20,98
2013-07-21,96
2013-07-22,97
2013-07-23,96
2013-07-24,96
2013-07-25,92
2013-07-26,95
2013-07-27,98
2013-07-28,99
2013-07-29,96
2013-07-30,98
2013-07-31,93
2013-08-01,91
2013-08-02,89
2013-08-03,93
2013-08-04,98
2013-08-05,94
2013-08-06,90
2013-08-07,92
2013-08-08,91
2013-08-09,90
2013-08-10,99
2013-08-11,96
2013-08-12,94
2013-08-13,91
2013-08-14,95
2013-08-15,89
2013-08-16,89
2013-08-17,98
2013-08-18,99
2013-08-19,99
2013-08-20,93
2013-08-21,94
2013-08-22,89
2013-08-23,92
2013-08-24,100
2013-08-25,100
2013-08-26,93
2013-08-27,96
2013-08-28,96
2013-08-29,89
2013-08-30,92
2013-08-31,98
2013-09-01,19
2013-09-02,18
2013-09-03,18
2013-09-04,18
2013-09-05,18
2013-09-06,18
2013-09-07,19
2013-09-08,20
2013-09-09,23
2013-09-10,100
2013-09-11,58
2013-09-12,29
2013-09-13,27
2013-09-14,25
2013-09-15,24
2013-09-16,21
2013-09-17,23
2013-09-18,36
2013-09-19,35
2013-09-20,37
2013-09-21,33
2013-09-22,29
2013-09-23,25
2013-09-24,24
2013-09-25,22
2013-09-26,21
2013-09-27,22
2013-09-28,22
2013-09-29,22
2013-09-30,21
2013-10-01,38
2013-10-02,38
2013-10-03,38
2013-10-04,37
2013-10-05,41
2013-10-06,42
2013-10-07,39
2013-10-08,37
2013-10-09,40
2013-10-10,35
2013-10-11,36
2013-10-12,39
2013-10-13,38
2013-10-14,37
2013-10-15,36
2013-10-16,37
2013-10-17,35
2013-10-18,37
2013-10-19,39
2013-10-20,37
2013-10-21,39
2013-10-22,100
2013-10-23,78
2013-10-24,54
2013-10-25,52
2013-10-26,49
2013-10-27,47
2013-10-28,44
2013-10-29,41
2013-10-30,40
2013-10-31,41
2013-11-01,72
2013-11-02,67
2013-11-03,65
2013-11-04,59
2013-11-05,53
2013-11-06,55
2013-11-07,53
2013-11-08,54
2013-11-09,61
2013-11-10,58
2013-11-11,54
2013-11-12,58
2013-11-13,57
2013-11-14,54
2013-11-15,57
2013-11-16,59
2013-11-17,61
2013-11-18,58
2013-11-19,53
2013-11-20,54
2013-11-21,52
2013-11-22,56
2013-11-23,60
2013-11-24,59
2013-11-25,53
2013-11-26,55
2013-11-27,55
2013-11-28,66
2013-11-29,100
2013-11-30,68
2013-12-01,71
2013-12-02,70
2013-12-03,68
2013-12-04,66
2013-12-05,62
2013-12-06,61
2013-12-07,69
2013-12-08,71
2013-12-09,67
2013-12-10,62
2013-12-11,61
2013-12-12,65
2013-12-13,64
2013-12-14,71
2013-12-15,72
2013-12-16,70
2013-12-17,65
2013-12-18,67
2013-12-19,66
2013-12-20,66
2013-12-21,71
2013-12-22,75
2013-12-23,73
2013-12-24,71
2013-12-25,100
2013-12-26,93
2013-12-27,83
2013-12-28,80
2013-12-29,76
2013-12-30,70
2013-12-31,63
2014-01-01,97
2014-01-02,98
2014-01-03,98
2014-01-04,100
2014-01-05,95
2014-01-06,87
2014-01-07,88
2014-01-08,87
2014-01-09,88
2014-01-10,99
2014-01-11,88
2014-01-12,92
2014-01-13,79
2014-01-14,81
2014-01-15,79
2014-01-16,79
2014-01-17,78
2014-01-18,84
2014-01-19,84
2014-01-20,78
2014-01-21,77
2014-01-22,75
2014-01-23,76
2014-01-24,81
2014-01-25,86
2014-01-26,89
