date,Dogecoin
2018-01-01,36
2018-01-02,15
2018-01-03,0
2018-01-04,44
2018-01-05,61
2018-01-06,33
2018-01-07,32
2018-01-08,100
2018-01-09,57
2018-01-10,71
2018-01-11,15
2018-01-12,15
2018-01-13,16
2018-01-14,32
2018-01-15,43
2018-01-16,14
2018-01-17,0
2018-01-18,14
2018-01-19,15
2018-01-20,16
2018-01-21,48
2018-01-22,14
2018-01-23,14
2018-01-24,14
2018-01-25,42
2018-01-26,0
2018-01-27,16
2018-01-28,0
2018-01-29,0
2018-01-30,14
2018-01-31,0
2018-02-01,32
2018-02-02,100
2018-02-03,37
2018-02-04,0
2018-02-05,0
2018-02-06,32
2018-02-07,0
2018-02-08,0
2018-02-09,0
2018-02-10,37
2018-02-11,0
2018-02-12,0
2018-02-13,33
2018-02-14,0
2018-02-15,0
2018-02-16,34
2018-02-17,0
2018-02-18,0
2018-02-19,32
2018-02-20,0
2018-02-21,31
2018-02-22,96
2018-02-23,66
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,32
2018-02-28,0
2018-03-01,0
2018-03-02,35
2018-03-03,76
2018-03-04,0
2018-03-05,33
2018-03-06,33
2018-03-07,100
2018-03-08,33
2018-03-09,0
2018-03-10,0
2018-03-11,38
2018-03-12,0
2018-03-13,0
2018-03-14,0
2018-03-15,33
2018-03-16,0
2018-03-17,0
2018-03-18,37
2018-03-19,0
2018-03-20,0
2018-03-21,0
2018-03-22,0
2018-03-23,0
2018-03-24,39
2018-03-25,39
2018-03-26,67
2018-03-27,0
2018-03-28,0
2018-03-29,0
2018-03-30,38
2018-03-31,39
2018-04-01,59
2018-04-02,52
2018-04-03,0
2018-04-04,0
2018-04-05,0
2018-04-06,0
2018-04-07,57
2018-04-08,0
2018-04-09,0
2018-04-10,0
2018-04-11,0
2018-04-12,49
2018-04-13,0
2018-04-14,0
2018-04-15,0
2018-04-16,0
2018-04-17,0
2018-04-18,50
2018-04-19,100
2018-04-20,52
2018-04-21,0
2018-04-22,0
2018-04-23,0
2018-04-24,0
2018-04-25,49
2018-04-26,0
2018-04-27,0
2018-04-28,0
2018-04-29,0
2018-04-30,0
2018-05-01,51
2018-05-02,0
2018-05-03,0
2018-05-04,100
2018-05-05,0
2018-05-06,0
2018-05-07,0
2018-05-08,0
2018-05-09,96
2018-05-10,0
2018-05-11,0
2018-05-12,0
2018-05-13,0
2018-05-14,0
2018-05-15,0
2018-05-16,48
2018-05-17,48
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,0
2018-05-22,0
2018-05-23,0
2018-05-24,0
2018-05-25,51
2018-05-26,0
2018-05-27,0
2018-05-28,0
2018-05-29,0
2018-05-30,48
2018-05-31,0
2018-06-01,0
2018-06-02,56
2018-06-03,56
2018-06-04,47
2018-06-05,0
2018-06-06,48
2018-06-07,0
2018-06-08,100
2018-06-09,0
2018-06-10,55
2018-06-11,0
2018-06-12,0
2018-06-13,45
2018-06-14,0
2018-06-15,0
2018-06-16,0
2018-06-17,0
2018-06-18,48
2018-06-19,47
2018-06-20,0
2018-06-21,0
2018-06-22,0
2018-06-23,0
2018-06-24,54
2018-06-25,0
2018-06-26,47
2018-06-27,0
2018-06-28,48
2018-06-29,0
2018-06-30,0
2018-07-01,0
2018-07-02,32
2018-07-03,0
2018-07-04,34
2018-07-05,0
2018-07-06,0
2018-07-07,0
2018-07-08,0
2018-07-09,32
2018-07-10,31
2018-07-11,0
2018-07-12,33
2018-07-13,0
2018-07-14,38
2018-07-15,37
2018-07-16,0
2018-07-17,0
2018-07-18,100
2018-07-19,0
2018-07-20,69
2018-07-21,0
2018-07-22,0
2018-07-23,33
2018-07-24,33
2018-07-25,0
2018-07-26,66
2018-07-27,68
2018-07-28,37
2018-07-29,0
2018-07-30,65
2018-07-31,0
2018-08-01,19
2018-08-02,0
2018-08-03,0
2018-08-04,0
2018-08-05,22
2018-08-06,19
2018-08-07,38
2018-08-08,19
2018-08-09,0
2018-08-10,0
2018-08-11,0
2018-08-12,0
2018-08-13,0
2018-08-14,0
2018-08-15,0
2018-08-16,40
2018-08-17,0
2018-08-18,0
2018-08-19,0
2018-08-20,0
2018-08-21,0
2018-08-22,0
2018-08-23,0
2018-08-24,0
2018-08-25,0
2018-08-26,22
2018-08-27,0
2018-08-28,19
2018-08-29,0
2018-08-30,58
2018-08-31,100
2018-09-01,68
2018-09-02,68
2018-09-03,61
2018-09-04,29
2018-09-05,29
2018-09-06,29
2018-09-07,0
2018-09-08,34
2018-09-09,100
2018-09-10,87
2018-09-11,58
2018-09-12,29
2018-09-13,59
2018-09-14,61
2018-09-15,0
2018-09-16,33
2018-09-17,29
2018-09-18,0
2018-09-19,0
2018-09-20,29
2018-09-21,61
2018-09-22,0
2018-09-23,33
2018-09-24,0
2018-09-25,0
2018-09-26,0
2018-09-27,29
2018-09-28,0
2018-09-29,0
2018-09-30,0
2018-10-01,49
2018-10-02,0
2018-10-03,50
2018-10-04,0
2018-10-05,0
2018-10-06,0
2018-10-07,0
2018-10-08,51
2018-10-09,0
2018-10-10,51
2018-10-11,52
2018-10-12,54
2018-10-13,0
2018-10-14,0
2018-10-15,0
2018-10-16,0
2018-10-17,0
2018-10-18,0
2018-10-19,0
2018-10-20,0
2018-10-21,0
2018-10-22,0
2018-10-23,0
2018-10-24,100
2018-10-25,51
2018-10-26,0
2018-10-27,0
2018-10-28,56
2018-10-29,0
2018-10-30,0
2018-10-31,0
2018-11-01,0
2018-11-02,0
2018-11-03,100
2018-11-04,0
