date,Ethereum
2018-01-01,73
2018-01-02,45
2018-01-03,87
2018-01-04,70
2018-01-05,88
2018-01-06,24
2018-01-07,54
2018-01-08,100
2018-01-09,78
2018-01-10,85
2018-01-11,70
2018-01-12,22
2018-01-13,42
2018-01-14,71
2018-01-15,47
2018-01-16,84
2018-01-17,92
2018-01-18,47
2018-01-19,54
2018-01-20,30
2018-01-21,41
2018-01-22,26
2018-01-23,88
2018-01-24,31
2018-01-25,31
2018-01-26,16
2018-01-27,12
2018-01-28,30
2018-01-29,67
2018-01-30,47
2018-01-31,16
2018-02-01,53
2018-02-02,34
2018-02-03,24
2018-02-04,18
2018-02-05,80
2018-02-06,100
2018-02-07,42
2018-02-08,64
2018-02-09,28
2018-02-10,12
2018-02-11,6
2018-02-12,49
2018-02-13,43
2018-02-14,32
2018-02-15,27
2018-02-16,11
2018-02-17,18
2018-02-18,12
2018-02-19,11
2018-02-20,5
2018-02-21,31
2018-02-22,27
2018-02-23,11
2018-02-24,6
2018-02-25,18
2018-02-26,11
2018-02-27,16
2018-02-28,0
2018-03-01,27
2018-03-02,100
2018-03-03,47
2018-03-04,15
2018-03-05,0
2018-03-06,27
2018-03-07,54
2018-03-08,14
2018-03-09,72
2018-03-10,47
2018-03-11,62
2018-03-12,53
2018-03-13,81
2018-03-14,67
2018-03-15,41
2018-03-16,28
2018-03-17,31
2018-03-18,15
2018-03-19,0
2018-03-20,27
2018-03-21,68
2018-03-22,55
2018-03-23,28
2018-03-24,79
2018-03-25,32
2018-03-26,27
2018-03-27,55
2018-03-28,28
2018-03-29,29
2018-03-30,31
2018-03-31,16
2018-04-01,23
2018-04-02,100
2018-04-03,57
2018-04-04,37
2018-04-05,58
2018-04-06,60
2018-04-07,0
2018-04-08,43
2018-04-09,75
2018-04-10,56
2018-04-11,37
2018-04-12,38
2018-04-13,59
2018-04-14,22
2018-04-15,43
2018-04-16,56
2018-04-17,19
2018-04-18,38
2018-04-19,78
2018-04-20,20
2018-04-21,22
2018-04-22,22
2018-04-23,93
2018-04-24,56
2018-04-25,38
2018-04-26,38
2018-04-27,61
2018-04-28,0
2018-04-29,0
2018-04-30,58
2018-05-01,0
2018-05-02,11
2018-05-03,100
2018-05-04,35
2018-05-05,40
2018-05-06,26
2018-05-07,33
2018-05-08,22
2018-05-09,11
2018-05-10,45
2018-05-11,12
2018-05-12,13
2018-05-13,26
2018-05-14,11
2018-05-15,22
2018-05-16,45
2018-05-17,11
2018-05-18,47
2018-05-19,39
2018-05-20,26
2018-05-21,23
2018-05-22,33
2018-05-23,45
2018-05-24,23
2018-05-25,12
2018-05-26,26
2018-05-27,13
2018-05-28,11
2018-05-29,22
