date,Facebook
2012-01-01,96
2012-01-02,100
2012-01-03,88
2012-01-04,91
2012-01-05,90
2012-01-06,93
2012-01-07,94
2012-01-08,83
2012-01-09,91
2012-01-10,93
2012-01-11,94
2012-01-12,89
2012-01-13,91
2012-01-14,92
2012-01-15,89
2012-01-16,92
2012-01-17,95
2012-01-18,92
2012-01-19,93
2012-01-20,96
2012-01-21,92
2012-01-22,86
2012-01-23,93
2012-01-24,91
2012-01-25,93
2012-01-26,96
2012-01-27,95
2012-01-28,91
2012-01-29,86
2012-01-30,91
2012-01-31,94
2012-02-01,90
2012-02-02,93
2012-02-03,93
2012-02-04,92
2012-02-05,86
2012-02-06,92
2012-02-07,94
2012-02-08,94
2012-02-09,93
2012-02-10,93
2012-02-11,94
2012-02-12,83
2012-02-13,87
2012-02-14,94
2012-02-15,95
2012-02-16,99
2012-02-17,94
2012-02-18,94
2012-02-19,86
2012-02-20,94
2012-02-21,88
2012-02-22,93
2012-02-23,100
2012-02-24,98
2012-02-25,94
2012-02-26,88
2012-02-27,90
2012-02-28,92
2012-02-29,95
2012-03-01,96
2012-03-02,94
2012-03-03,91
2012-03-04,88
2012-03-05,90
2012-03-06,97
2012-03-07,100
2012-03-08,91
2012-03-09,95
2012-03-10,90
2012-03-11,83
2012-03-12,94
2012-03-13,91
2012-03-14,91
2012-03-15,93
2012-03-16,92
2012-03-17,92
2012-03-18,84
2012-03-19,87
2012-03-20,91
2012-03-21,92
2012-03-22,91
2012-03-23,95
2012-03-24,90
2012-03-25,79
2012-03-26,89
2012-03-27,85
2012-03-28,91
2012-03-29,89
2012-03-30,92
2012-03-31,87
2012-04-01,90
2012-04-02,93
2012-04-03,96
2012-04-04,99
2012-04-05,90
2012-04-06,91
2012-04-07,92
2012-04-08,92
2012-04-09,92
2012-04-10,100
2012-04-11,96
2012-04-12,96
2012-04-13,98
2012-04-14,92
2012-04-15,89
2012-04-16,95
2012-04-17,99
2012-04-18,96
2012-04-19,96
2012-04-20,100
2012-04-21,93
2012-04-22,92
2012-04-23,94
2012-04-24,97
2012-04-25,93
2012-04-26,97
2012-04-27,97
2012-04-28,91
2012-04-29,90
2012-04-30,94
2012-05-01,87
2012-05-02,92
2012-05-03,93
2012-05-04,95
2012-05-05,95
2012-05-06,86
2012-05-07,98
2012-05-08,92
2012-05-09,94
2012-05-10,97
2012-05-11,96
2012-05-12,96
2012-05-13,92
2012-05-14,95
2012-05-15,94
2012-05-16,97
2012-05-17,97
2012-05-18,97
2012-05-19,93
2012-05-20,87
2012-05-21,93
2012-05-22,92
2012-05-23,98
2012-05-24,96
2012-05-25,98
2012-05-26,100
2012-05-27,91
2012-05-28,99
2012-05-29,100
2012-05-30,95
2012-05-31,95
2012-06-01,99
2012-06-02,92
2012-06-03,90
2012-06-04,95
2012-06-05,95
2012-06-06,94
2012-06-07,95
2012-06-08,96
2012-06-09,95
2012-06-10,89
2012-06-11,99
2012-06-12,99
2012-06-13,97
2012-06-14,100
2012-06-15,98
2012-06-16,97
2012-06-17,93
2012-06-18,96
2012-06-19,96
2012-06-20,97
2012-06-21,97
2012-06-22,94
2012-06-23,96
2012-06-24,87
2012-06-25,99
2012-06-26,97
2012-06-27,97
2012-06-28,99
2012-06-29,96
2012-06-30,97
2012-07-01,89
2012-07-02,92
2012-07-03,92
2012-07-04,96
2012-07-05,97
2012-07-06,92
2012-07-07,92
2012-07-08,89
2012-07-09,92
2012-07-10,93
2012-07-11,100
2012-07-12,98
2012-07-13,94
2012-07-14,91
2012-07-15,90
2012-07-16,91
2012-07-17,93
2012-07-18,92
2012-07-19,94
2012-07-20,94
2012-07-21,91
2012-07-22,92
2012-07-23,95
2012-07-24,93
2012-07-25,95
2012-07-26,92
2012-07-27,92
2012-07-28,91
2012-07-29,85
2012-07-30,90
2012-07-31,89
2012-08-01,97
2012-08-02,97
2012-08-03,95
2012-08-04,93
2012-08-05,88
2012-08-06,96
2012-08-07,91
2012-08-08,97
2012-08-09,97
2012-08-10,96
2012-08-11,90
2012-08-12,88
2012-08-13,97
2012-08-14,95
2012-08-15,89
2012-08-16,99
2012-08-17,97
2012-08-18,94
2012-08-19,93
2012-08-20,98
2012-08-21,98
2012-08-22,97
2012-08-23,95
2012-08-24,99
2012-08-25,94
2012-08-26,90
2012-08-27,100
2012-08-28,94
2012-08-29,95
2012-08-30,96
2012-08-31,97
2012-09-01,95
2012-09-02,92
2012-09-03,98
2012-09-04,91
2012-09-05,96
2012-09-06,96
2012-09-07,100
2012-09-08,97
2012-09-09,92
2012-09-10,97
2012-09-11,98
2012-09-12,97
2012-09-13,99
2012-09-14,95
2012-09-15,94
2012-09-16,87
2012-09-17,96
2012-09-18,98
2012-09-19,97
2012-09-20,95
2012-09-21,98
2012-09-22,100
2012-09-23,89
2012-09-24,96
2012-09-25,96
2012-09-26,98
2012-09-27,92
2012-09-28,98
2012-09-29,92
2012-09-30,88
2012-10-01,69
2012-10-02,71
2012-10-03,71
2012-10-04,87
2012-10-05,92
2012-10-06,89
2012-10-07,83
2012-10-08,92
2012-10-09,100
2012-10-10,98
2012-10-11,98
2012-10-12,93
2012-10-13,95
2012-10-14,89
2012-10-15,96
2012-10-16,97
2012-10-17,98
2012-10-18,98
2012-10-19,98
2012-10-20,91
2012-10-21,88
2012-10-22,97
2012-10-23,97
2012-10-24,98
2012-10-25,98
2012-10-26,96
2012-10-27,92
2012-10-28,87
2012-10-29,93
2012-10-30,94
2012-10-31,98
2012-11-01,96
2012-11-02,94
2012-11-03,87
2012-11-04,88
2012-11-05,97
2012-11-06,92
2012-11-07,91
2012-11-08,97
2012-11-09,98
2012-11-10,90
2012-11-11,83
2012-11-12,94
2012-11-13,93
2012-11-14,98
2012-11-15,93
2012-11-16,96
2012-11-17,90
2012-11-18,82
2012-11-19,94
2012-11-20,94
2012-11-21,96
2012-11-22,100
2012-11-23,97
2012-11-24,90
2012-11-25,86
2012-11-26,90
2012-11-27,93
2012-11-28,95
2012-11-29,93
2012-11-30,95
2012-12-01,86
2012-12-02,82
2012-12-03,90
2012-12-04,88
2012-12-05,89
2012-12-06,89
2012-12-07,90
2012-12-08,85
2012-12-09,79
2012-12-10,96
2012-12-11,90
2012-12-12,88
2012-12-13,92
2012-12-14,94
2012-12-15,86
2012-12-16,82
2012-12-17,89
2012-12-18,91
2012-12-19,96
2012-12-20,92
2012-12-21,93
2012-12-22,89
2012-12-23,86
2012-12-24,92
2012-12-25,98
2012-12-26,100
2012-12-27,96
2012-12-28,95
2012-12-29,90
2012-12-30,83
2012-12-31,91
