date,Google
2012-01-01,91
2012-01-02,85
2012-01-03,87
2012-01-04,86
2012-01-05,88
2012-01-06,86
2012-01-07,91
2012-01-08,86
2012-01-09,86
2012-01-10,84
2012-01-11,90
2012-01-12,86
2012-01-13,91
2012-01-14,89
2012-01-15,87
2012-01-16,84
2012-01-17,85
2012-01-18,100
2012-01-19,90
2012-01-20,87
2012-01-21,86
2012-01-22,82
2012-01-23,84
2012-01-24,85
2012-01-25,87
2012-01-26,86
2012-01-27,88
2012-01-28,87
2012-01-29,86
2012-01-30,85
2012-01-31,84
2012-02-01,92
2012-02-02,94
2012-02-03,91
2012-02-04,91
2012-02-05,92
2012-02-06,90
2012-02-07,90
2012-02-08,93
2012-02-09,94
2012-02-10,93
2012-02-11,92
2012-02-12,92
2012-02-13,89
2012-02-14,100
2012-02-15,96
2012-02-16,91
2012-02-17,95
2012-02-18,92
2012-02-19,89
2012-02-20,90
2012-02-21,92
2012-02-22,99
2012-02-23,96
2012-02-24,95
2012-02-25,94
2012-02-26,92
2012-02-27,92
2012-02-28,93
2012-02-29,98
2012-03-01,90
2012-03-02,86
2012-03-03,86
2012-03-04,84
2012-03-05,85
2012-03-06,92
2012-03-07,92
2012-03-08,100
2012-03-09,95
2012-03-10,92
2012-03-11,92
2012-03-12,92
2012-03-13,91
2012-03-14,97
2012-03-15,93
2012-03-16,94
2012-03-17,96
2012-03-18,93
2012-03-19,90
2012-03-20,95
2012-03-21,94
2012-03-22,95
2012-03-23,94
2012-03-24,91
2012-03-25,88
2012-03-26,88
2012-03-27,94
2012-03-28,95
2012-03-29,92
2012-03-30,95
2012-03-31,93
2012-04-01,82
2012-04-02,76
2012-04-03,75
2012-04-04,80
2012-04-05,77
2012-04-06,76
2012-04-07,80
2012-04-08,76
2012-04-09,81
2012-04-10,76
2012-04-11,76
2012-04-12,76
2012-04-13,78
2012-04-14,79
2012-04-15,72
2012-04-16,74
2012-04-17,79
2012-04-18,77
2012-04-19,77
2012-04-20,78
2012-04-21,78
2012-04-22,78
2012-04-23,80
