date,Microsoft
2012-01-01,65
2012-01-02,62
2012-01-03,100
2012-01-04,72
2012-01-05,77
2012-01-06,87
2012-01-07,48
2012-01-08,68
2012-01-09,82
2012-01-10,76
2012-01-11,78
2012-01-12,88
2012-01-13,65
2012-01-14,63
2012-01-15,66
2012-01-16,89
2012-01-17,69
2012-01-18,74
2012-01-19,83
2012-01-20,65
2012-01-21,51
2012-01-22,66
2012-01-23,78
2012-01-24,80
2012-01-25,81
2012-01-26,77
2012-01-27,70
2012-01-28,60
2012-01-29,57
2012-01-30,72
2012-01-31,71
2012-02-01,74
2012-02-02,63
2012-02-03,62
2012-02-04,63
2012-02-05,65
2012-02-06,79
2012-02-07,77
2012-02-08,100
2012-02-09,75
2012-02-10,59
2012-02-11,59
2012-02-12,57
2012-02-13,66
2012-02-14,69
2012-02-15,72
2012-02-16,90
2012-02-17,90
2012-02-18,62
2012-02-19,56
2012-02-20,76
2012-02-21,61
2012-02-22,81
2012-02-23,81
2012-02-24,74
2012-02-25,54
2012-02-26,53
2012-02-27,65
2012-02-28,87
2012-02-29,87
2012-03-01,93
2012-03-02,77
2012-03-03,68
2012-03-04,62
2012-03-05,88
2012-03-06,87
2012-03-07,87
2012-03-08,93
2012-03-09,88
2012-03-10,82
2012-03-11,60
2012-03-12,89
2012-03-13,83
2012-03-14,90
2012-03-15,82
2012-03-16,87
2012-03-17,63
2012-03-18,71
2012-03-19,97
2012-03-20,88
2012-03-21,100
2012-03-22,91
2012-03-23,79
2012-03-24,77
2012-03-25,69
2012-03-26,80
2012-03-27,90
2012-03-28,82
2012-03-29,85
2012-03-30,74
2012-03-31,55
2012-04-01,67
2012-04-02,74
2012-04-03,72
2012-04-04,81
2012-04-05,79
2012-04-06,63
2012-04-07,65
2012-04-08,52
2012-04-09,84
2012-04-10,91
2012-04-11,83
2012-04-12,68
2012-04-13,83
2012-04-14,60
2012-04-15,50
2012-04-16,70
2012-04-17,80
2012-04-18,82
2012-04-19,77
2012-04-20,91
2012-04-21,56
2012-04-22,40
2012-04-23,87
2012-04-24,82
2012-04-25,100
2012-04-26,77
2012-04-27,80
2012-04-28,57
2012-04-29,67
2012-04-30,70
2012-05-01,79
2012-05-02,93
2012-05-03,93
2012-05-04,95
2012-05-05,61
2012-05-06,55
2012-05-07,74
2012-05-08,86
2012-05-09,90
2012-05-10,80
2012-05-11,85
2012-05-12,70
2012-05-13,57
2012-05-14,91
2012-05-15,100
2012-05-16,83
2012-05-17,95
2012-05-18,71
2012-05-19,64
2012-05-20,57
2012-05-21,88
2012-05-22,70
2012-05-23,80
2012-05-24,73
2012-05-25,68
2012-05-26,56
2012-05-27,59
2012-05-28,65
2012-05-29,95
2012-05-30,81
2012-05-31,79
2012-06-01,69
2012-06-02,58
2012-06-03,57
2012-06-04,82
2012-06-05,61
2012-06-06,73
2012-06-07,83
2012-06-08,74
2012-06-09,44
2012-06-10,52
2012-06-11,59
2012-06-12,76
2012-06-13,71
2012-06-14,65
2012-06-15,81
2012-06-16,51
2012-06-17,54
2012-06-18,77
2012-06-19,100
2012-06-20,86
2012-06-21,98
2012-06-22,79
2012-06-23,50
2012-06-24,65
2012-06-25,66
2012-06-26,92
2012-06-27,78
2012-06-28,74
2012-06-29,71
2012-06-30,57
2012-07-01,72
2012-07-02,91
2012-07-03,77
2012-07-04,66
2012-07-05,64
2012-07-06,89
2012-07-07,57
2012-07-08,62
2012-07-09,100
2012-07-10,81
2012-07-11,94
2012-07-12,82
2012-07-13,85
2012-07-14,57
2012-07-15,64
2012-07-16,74
2012-07-17,87
2012-07-18,69
2012-07-19,96
2012-07-20,73
2012-07-21,54
2012-07-22,52
2012-07-23,79
2012-07-24,76
2012-07-25,68
2012-07-26,92
2012-07-27,78
2012-07-28,67
2012-07-29,58
2012-07-30,87
2012-07-31,94
2012-08-01,95
2012-08-02,88
2012-08-03,85
2012-08-04,50
2012-08-05,52
2012-08-06,84
2012-08-07,86
2012-08-08,87
2012-08-09,73
2012-08-10,73
2012-08-11,42
2012-08-12,52
2012-08-13,86
2012-08-14,95
2012-08-15,74
2012-08-16,83
2012-08-17,73
2012-08-18,50
2012-08-19,57
2012-08-20,88
2012-08-21,86
2012-08-22,82
2012-08-23,100
2012-08-24,100
2012-08-25,70
2012-08-26,59
2012-08-27,78
2012-08-28,97
2012-08-29,84
