date,Tesla
2012-01-01,56
2012-01-02,69
2012-01-03,44
2012-01-04,68
2012-01-05,52
2012-01-06,55
2012-01-07,33
2012-01-08,59
2012-01-09,66
2012-01-10,61
2012-01-11,100
2012-01-12,89
2012-01-13,36
2012-01-14,70
2012-01-15,46
2012-01-16,57
2012-01-17,53
2012-01-18,49
2012-01-19,61
2012-01-20,48
2012-01-21,41
2012-01-22,54
2012-01-23,49
2012-01-24,75
2012-01-25,76
2012-01-26,70
2012-01-27,79
2012-01-28,55
2012-01-29,36
2012-01-30,63
2012-01-31,48
2012-02-01,30
2012-02-02,23
2012-02-03,27
2012-02-04,35
2012-02-05,19
2012-02-06,14
2012-02-07,24
2012-02-08,26
2012-02-09,30
2012-02-10,100
2012-02-11,51
2012-02-12,45
2012-02-13,31
2012-02-14,40
2012-02-15,46
2012-02-16,42
2012-02-17,49
2012-02-18,49
2012-02-19,55
2012-02-20,43
2012-02-21,43
2012-02-22,35
2012-02-23,42
2012-02-24,36
2012-02-25,44
2012-02-26,39
2012-02-27,38
2012-02-28,44
2012-02-29,20
2012-03-01,61
2012-03-02,77
2012-03-03,68
2012-03-04,56
2012-03-05,81
2012-03-06,96
2012-03-07,82
2012-03-08,93
2012-03-09,92
2012-03-10,65
2012-03-11,93
2012-03-12,46
2012-03-13,62
2012-03-14,79
2012-03-15,67
2012-03-16,79
2012-03-17,71
2012-03-18,100
2012-03-19,75
2012-03-20,54
2012-03-21,55
2012-03-22,98
2012-03-23,76
2012-03-24,77
2012-03-25,81
2012-03-26,95
2012-03-27,67
2012-03-28,42
2012-03-29,68
2012-03-30,68
2012-03-31,61
2012-04-01,49
2012-04-02,64
2012-04-03,32
2012-04-04,57
2012-04-05,46
2012-04-06,60
2012-04-07,22
2012-04-08,100
2012-04-09,62
2012-04-10,24
2012-04-11,51
2012-04-12,61
2012-04-13,57
2012-04-14,55
2012-04-15,58
2012-04-16,76
2012-04-17,82
2012-04-18,51
2012-04-19,49
2012-04-20,90
2012-04-21,99
2012-04-22,68
2012-04-23,62
2012-04-24,48
2012-04-25,48
2012-04-26,32
2012-04-27,33
2012-04-28,32
2012-04-29,53
2012-04-30,45
2012-05-01,52
2012-05-02,61
2012-05-03,48
2012-05-04,71
2012-05-05,58
2012-05-06,53
2012-05-07,80
2012-05-08,49
2012-05-09,68
2012-05-10,88
2012-05-11,79
2012-05-12,46
2012-05-13,71
2012-05-14,46
2012-05-15,53
2012-05-16,48
2012-05-17,74
2012-05-18,47
2012-05-19,77
2012-05-20,76
2012-05-21,50
2012-05-22,100
2012-05-23,75
2012-05-24,51
2012-05-25,82
2012-05-26,78
2012-05-27,95
2012-05-28,57
2012-05-29,50
2012-05-30,39
2012-05-31,47
2012-06-01,42
2012-06-02,45
2012-06-03,46
2012-06-04,52
2012-06-05,33
2012-06-06,38
2012-06-07,51
2012-06-08,35
2012-06-09,71
2012-06-10,49
2012-06-11,64
2012-06-12,28
2012-06-13,24
2012-06-14,56
2012-06-15,46
2012-06-16,35
2012-06-17,50
2012-06-18,38
2012-06-19,31
2012-06-20,69
2012-06-21,53
2012-06-22,82
2012-06-23,100
2012-06-24,76
2012-06-25,71
2012-06-26,42
2012-06-27,67
2012-06-28,59
2012-06-29,49
2012-06-30,66
2012-07-01,64
2012-07-02,52
2012-07-03,64
2012-07-04,58
2012-07-05,60
2012-07-06,32
2012-07-07,61
2012-07-08,49
2012-07-09,79
2012-07-10,60
2012-07-11,65
2012-07-12,78
2012-07-13,48
2012-07-14,61
2012-07-15,68
2012-07-16,100
2012-07-17,57
2012-07-18,61
2012-07-19,59
2012-07-20,62
2012-07-21,58
2012-07-22,82
2012-07-23,34
2012-07-24,62
2012-07-25,53
2012-07-26,78
2012-07-27,49
2012-07-28,61
2012-07-29,57
2012-07-30,52
2012-07-31,86
2012-08-01,57
2012-08-02,70
2012-08-03,60
2012-08-04,42
2012-08-05,53
2012-08-06,60
2012-08-07,40
2012-08-08,34
2012-08-09,75
2012-08-10,42
2012-08-11,33
2012-08-12,75
2012-08-13,71
2012-08-14,53
2012-08-15,28
2012-08-16,65
2012-08-17,82
2012-08-18,75
2012-08-19,60
2012-08-20,31
2012-08-21,61
2012-08-22,37
2012-08-23,85
2012-08-24,56
2012-08-25,44
2012-08-26,24
2012-08-27,100
2012-08-28,75
2012-08-29,65
2012-08-30,73
2012-08-31,65
2012-09-01,30
2012-09-02,39
2012-09-03,29
2012-09-04,31
2012-09-05,56
2012-09-06,44
2012-09-07,38
2012-09-08,50
2012-09-09,36
2012-09-10,38
2012-09-11,42
2012-09-12,40
2012-09-13,43
2012-09-14,42
2012-09-15,48
2012-09-16,25
2012-09-17,33
2012-09-18,38
2012-09-19,31
2012-09-20,28
2012-09-21,37
2012-09-22,36
2012-09-23,41
2012-09-24,42
2012-09-25,100
2012-09-26,80
2012-09-27,31
2012-09-28,62
2012-09-29,55
2012-09-30,42
2012-10-01,81
2012-10-02,81
2012-10-03,100
2012-10-04,98
2012-10-05,93
2012-10-06,97
2012-10-07,82
2012-10-08,79
2012-10-09,69
2012-10-10,85
2012-10-11,89
2012-10-12,97
2012-10-13,79
2012-10-14,59
2012-10-15,61
2012-10-16,55
2012-10-17,78
2012-10-18,40
2012-10-19,97
2012-10-20,51
2012-10-21,63
2012-10-22,80
2012-10-23,83
2012-10-24,58
2012-10-25,56
2012-10-26,95
2012-10-27,83
2012-10-28,57
2012-10-29,44
2012-10-30,63
2012-10-31,77
2012-11-01,44
2012-11-02,50
2012-11-03,35
2012-11-04,42
2012-11-05,27
2012-11-06,29
2012-11-07,32
2012-11-08,27
2012-11-09,30
2012-11-10,38
2012-11-11,25
2012-11-12,47
2012-11-13,100
2012-11-14,74
2012-11-15,51
2012-11-16,67
2012-11-17,48
2012-11-18,45
2012-11-19,27
2012-11-20,38
2012-11-21,31
2012-11-22,41
2012-11-23,31
2012-11-24,32
2012-11-25,52
2012-11-26,38
2012-11-27,21
2012-11-28,55
2012-11-29,47
2012-11-30,43
2012-12-01,80
2012-12-02,80
2012-12-03,52
2012-12-04,74
2012-12-05,70
2012-12-06,56
2012-12-07,79
2012-12-08,95
2012-12-09,41
2012-12-10,61
2012-12-11,43
2012-12-12,38
2012-12-13,66
2012-12-14,66
2012-12-15,76
2012-12-16,56
2012-12-17,47
2012-12-18,58
2012-12-19,57
2012-12-20,62
2012-12-21,63
2012-12-22,59
2012-12-23,77
2012-12-24,60
2012-12-25,81
2012-12-26,60
2012-12-27,76
2012-12-28,100
2012-12-29,52
2012-12-30,80
2012-12-31,58
2013-01-01,68
2013-01-02,74
2013-01-03,55
2013-01-04,65
2013-01-05,86
2013-01-06,78
2013-01-07,64
2013-01-08,53
2013-01-09,70
2013-01-10,60
2013-01-11,47
2013-01-12,51
2013-01-13,69
2013-01-14,69
2013-01-15,73
2013-01-16,61
2013-01-17,72
2013-01-18,100
2013-01-19,61
2013-01-20,58
2013-01-21,73
2013-01-22,54
2013-01-23,64
2013-01-24,75
2013-01-25,49
2013-01-26,87
2013-01-27,75
2013-01-28,87
2013-01-29,56
2013-01-30,53
2013-01-31,52
2013-02-01,30
2013-02-02,42
2013-02-03,46
2013-02-04,51
2013-02-05,28
2013-02-06,37
2013-02-07,39
2013-02-08,35
2013-02-09,49
2013-02-10,56
2013-02-11,40
2013-02-12,71
2013-02-13,43
2013-02-14,100
2013-02-15,81
2013-02-16,78
2013-02-17,61
2013-02-18,53
2013-02-19,62
2013-02-20,52
2013-02-21,52
2013-02-22,47
2013-02-23,50
2013-02-24,44
2013-02-25,54
2013-02-26,34
2013-02-27,39
2013-02-28,41
2013-03-01,56
2013-03-02,42
2013-03-03,59
2013-03-04,69
2013-03-05,54
2013-03-06,68
2013-03-07,52
2013-03-08,59
2013-03-09,62
2013-03-10,73
2013-03-11,67
2013-03-12,61
2013-03-13,42
2013-03-14,49
2013-03-15,49
2013-03-16,66
2013-03-17,48
2013-03-18,59
2013-03-19,48
2013-03-20,45
2013-03-21,62
2013-03-22,60
2013-03-23,44
2013-03-24,59
2013-03-25,100
2013-03-26,53
2013-03-27,54
2013-03-28,66
2013-03-29,83
2013-03-30,100
2013-03-31,61
2013-04-01,93
2013-04-02,95
2013-04-03,100
2013-04-04,64
2013-04-05,90
2013-04-06,49
2013-04-07,81
2013-04-08,60
2013-04-09,55
2013-04-10,74
2013-04-11,35
2013-04-12,56
2013-04-13,62
2013-04-14,52
2013-04-15,42
2013-04-16,46
2013-04-17,48
2013-04-18,54
2013-04-19,47
2013-04-20,52
2013-04-21,57
2013-04-22,46
2013-04-23,46
2013-04-24,68
2013-04-25,56
2013-04-26,64
2013-04-27,71
2013-04-28,86
2013-04-29,70
2013-04-30,46
2013-05-01,43
2013-05-02,28
2013-05-03,35
2013-05-04,40
2013-05-05,33
2013-05-06,27
2013-05-07,33
2013-05-08,37
2013-05-09,100
2013-05-10,87
2013-05-11,63
2013-05-12,61
2013-05-13,72
2013-05-14,82
2013-05-15,62
2013-05-16,60
2013-05-17,62
2013-05-18,47
2013-05-19,37
2013-05-20,45
2013-05-21,42
2013-05-22,49
2013-05-23,58
2013-05-24,49
2013-05-25,49
2013-05-26,44
2013-05-27,48
2013-05-28,42
2013-05-29,54
2013-05-30,89
2013-05-31,72
2013-06-01,56
2013-06-02,64
2013-06-03,56
2013-06-04,52
2013-06-05,64
2013-06-06,42
2013-06-07,71
2013-06-08,39
2013-06-09,47
2013-06-10,57
2013-06-11,55
2013-06-12,42
2013-06-13,43
2013-06-14,51
2013-06-15,43
2013-06-16,55
2013-06-17,53
2013-06-18,38
2013-06-19,42
2013-06-20,53
2013-06-21,100
2013-06-22,62
2013-06-23,36
2013-06-24,42
2013-06-25,45
2013-06-26,38
2013-06-27,40
2013-06-28,45
2013-06-29,70
2013-06-30,35
2013-07-01,61
2013-07-02,68
2013-07-03,66
2013-07-04,57
2013-07-05,60
2013-07-06,76
2013-07-07,75
2013-07-08,60
2013-07-09,52
2013-07-10,53
2013-07-11,84
2013-07-12,77
2013-07-13,87
2013-07-14,67
2013-07-15,64
2013-07-16,82
2013-07-17,100
2013-07-18,75
2013-07-19,92
2013-07-20,80
2013-07-21,89
2013-07-22,71
2013-07-23,62
2013-07-24,72
2013-07-25,87
2013-07-26,87
2013-07-27,85
2013-07-28,89
2013-07-29,81
2013-07-30,93
2013-07-31,79
2013-08-01,39
2013-08-02,44
2013-08-03,45
2013-08-04,49
2013-08-05,36
2013-08-06,35
2013-08-07,63
2013-08-08,87
2013-08-09,56
2013-08-10,52
2013-08-11,60
2013-08-12,64
2013-08-13,97
2013-08-14,59
2013-08-15,60
2013-08-16,50
2013-08-17,46
2013-08-18,48
2013-08-19,57
2013-08-20,66
2013-08-21,98
2013-08-22,100
2013-08-23,76
2013-08-24,50
2013-08-25,68
2013-08-26,57
2013-08-27,48
2013-08-28,48
2013-08-29,50
2013-08-30,51
2013-08-31,61
2013-09-01,92
2013-09-02,87
2013-09-03,73
2013-09-04,65
2013-09-05,91
2013-09-06,99
2013-09-07,100
2013-09-08,62
2013-09-09,72
2013-09-10,71
2013-09-11,89
2013-09-12,89
2013-09-13,87
2013-09-14,95
2013-09-15,75
2013-09-16,75
2013-09-17,76
2013-09-18,78
2013-09-19,82
2013-09-20,84
2013-09-21,86
2013-09-22,70
2013-09-23,61
2013-09-24,81
2013-09-25,74
2013-09-26,89
2013-09-27,98
2013-09-28,59
2013-09-29,83
2013-09-30,78
2013-10-01,58
2013-10-02,66
2013-10-03,99
2013-10-04,79
2013-10-05,84
2013-10-06,80
2013-10-07,59
2013-10-08,56
2013-10-09,78
2013-10-10,47
2013-10-11,45
2013-10-12,48
2013-10-13,74
2013-10-14,60
2013-10-15,57
2013-10-16,64
2013-10-17,53
2013-10-18,63
2013-10-19,61
2013-10-20,62
2013-10-21,52
2013-10-22,43
2013-10-23,61
2013-10-24,51
2013-10-25,58
2013-10-26,58
2013-10-27,56
2013-10-28,65
2013-10-29,100
2013-10-30,57
2013-10-31,60
2013-11-01,57
2013-11-02,64
2013-11-03,59
2013-11-04,57
2013-11-05,68
2013-11-06,90
2013-11-07,100
2013-11-08,80
2013-11-09,68
2013-11-10,57
2013-11-11,62
2013-11-12,59
2013-11-13,56
2013-11-14,62
2013-11-15,49
2013-11-16,51
2013-11-17,58
2013-11-18,59
2013-11-19,68
2013-11-20,70
2013-11-21,60
2013-11-22,64
2013-11-23,52
2013-11-24,52
2013-11-25,45
2013-11-26,61
2013-11-27,42
2013-11-28,57
2013-11-29,46
2013-11-30,38
2013-12-01,71
2013-12-02,70
2013-12-03,75
2013-12-04,70
2013-12-05,75
2013-12-06,60
2013-12-07,70
2013-12-08,90
2013-12-09,86
2013-12-10,69
2013-12-11,71
2013-12-12,58
2013-12-13,65
2013-12-14,78
2013-12-15,48
2013-12-16,51
2013-12-17,82
2013-12-18,74
2013-12-19,100
2013-12-20,99
2013-12-21,78
2013-12-22,67
2013-12-23,70
2013-12-24,84
2013-12-25,88
2013-12-26,90
2013-12-27,87
2013-12-28,68
2013-12-29,56
2013-12-30,63
2013-12-31,67
2014-01-01,86
2014-01-02,81
2014-01-03,65
2014-01-04,89
2014-01-05,75
2014-01-06,64
2014-01-07,75
2014-01-08,72
2014-01-09,55
2014-01-10,69
2014-01-11,80
2014-01-12,86
2014-01-13,68
2014-01-14,96
2014-01-15,100
2014-01-16,74
2014-01-17,56
2014-01-18,92
2014-01-19,71
2014-01-20,75
2014-01-21,65
2014-01-22,70
2014-01-23,53
2014-01-24,77
2014-01-25,67
2014-01-26,75
2014-01-27,70
2014-01-28,73
2014-01-29,70
2014-01-30,78
2014-01-31,81
2014-02-01,49
2014-02-02,58
2014-02-03,57
2014-02-04,49
2014-02-05,54
2014-02-06,35
2014-02-07,60
2014-02-08,70
2014-02-09,55
2014-02-10,52
2014-02-11,53
2014-02-12,53
2014-02-13,35
2014-02-14,49
2014-02-15,57
2014-02-16,55
2014-02-17,67
2014-02-18,74
2014-02-19,74
2014-02-20,92
2014-02-21,66
2014-02-22,42
2014-02-23,62
2014-02-24,50
2014-02-25,79
2014-02-26,88
2014-02-27,100
2014-02-28,78
2014-03-01,59
2014-03-02,61
2014-03-03,53
2014-03-04,58
2014-03-05,56
2014-03-06,33
2014-03-07,48
2014-03-08,42
2014-03-09,48
2014-03-10,47
2014-03-11,39
2014-03-12,70
2014-03-13,42
2014-03-14,53
2014-03-15,49
2014-03-16,62
2014-03-17,64
2014-03-18,52
2014-03-19,51
2014-03-20,47
2014-03-21,62
2014-03-22,47
2014-03-23,49
2014-03-24,40
2014-03-25,49
2014-03-26,59
2014-03-27,43
2014-03-28,70
2014-03-29,50
2014-03-30,100
2014-03-31,98
2014-04-01,75
2014-04-02,87
2014-04-03,66
2014-04-04,98
2014-04-05,87
2014-04-06,78
2014-04-07,70
2014-04-08,79
2014-04-09,68
2014-04-10,82
2014-04-11,65
2014-04-12,62
2014-04-13,65
2014-04-14,72
2014-04-15,52
2014-04-16,67
2014-04-17,84
2014-04-18,64
2014-04-19,68
2014-04-20,100
2014-04-21,68
2014-04-22,72
2014-04-23,68
2014-04-24,69
2014-04-25,71
2014-04-26,68
2014-04-27,65
2014-04-28,60
2014-04-29,73
2014-04-30,60
2014-05-01,65
2014-05-02,61
2014-05-03,80
2014-05-04,71
2014-05-05,64
2014-05-06,52
2014-05-07,54
2014-05-08,81
2014-05-09,85
2014-05-10,61
2014-05-11,73
2014-05-12,62
2014-05-13,89
2014-05-14,100
2014-05-15,80
2014-05-16,73
2014-05-17,64
2014-05-18,66
2014-05-19,70
2014-05-20,62
2014-05-21,65
2014-05-22,51
2014-05-23,57
2014-05-24,64
2014-05-25,80
2014-05-26,60
2014-05-27,64
2014-05-28,70
2014-05-29,48
2014-05-30,68
2014-05-31,60
2014-06-01,42
2014-06-02,47
2014-06-03,49
2014-06-04,45
2014-06-05,46
2014-06-06,61
2014-06-07,63
2014-06-08,60
2014-06-09,56
2014-06-10,43
2014-06-11,41
2014-06-12,68
2014-06-13,100
2014-06-14,63
2014-06-15,52
2014-06-16,62
2014-06-17,62
2014-06-18,53
2014-06-19,48
2014-06-20,50
2014-06-21,55
2014-06-22,70
2014-06-23,45
2014-06-24,48
2014-06-25,39
2014-06-26,43
2014-06-27,60
2014-06-28,49
2014-06-29,49
2014-06-30,55
2014-07-01,39
2014-07-02,46
2014-07-03,45
2014-07-04,50
2014-07-05,65
2014-07-06,50
2014-07-07,60
2014-07-08,58
2014-07-09,36
2014-07-10,48
2014-07-11,58
2014-07-12,53
2014-07-13,50
2014-07-14,55
2014-07-15,55
2014-07-16,100
2014-07-17,72
2014-07-18,64
2014-07-19,64
2014-07-20,65
2014-07-21,48
2014-07-22,71
2014-07-23,50
2014-07-24,58
2014-07-25,65
2014-07-26,63
2014-07-27,48
2014-07-28,54
2014-07-29,56
2014-07-30,41
2014-07-31,61
2014-08-01,100
2014-08-02,66
2014-08-03,65
2014-08-04,75
2014-08-05,67
2014-08-06,70
2014-08-07,68
2014-08-08,59
2014-08-09,61
2014-08-10,43
2014-08-11,89
2014-08-12,60
2014-08-13,55
2014-08-14,51
2014-08-15,73
2014-08-16,80
2014-08-17,65
2014-08-18,85
2014-08-19,73
2014-08-20,71
2014-08-21,70
2014-08-22,68
2014-08-23,71
2014-08-24,65
2014-08-25,54
2014-08-26,71
2014-08-27,66
2014-08-28,52
2014-08-29,69
2014-08-30,60
2014-08-31,74
2014-09-01,58
2014-09-02,74
2014-09-03,88
2014-09-04,71
2014-09-05,100
2014-09-06,89
2014-09-07,93
2014-09-08,72
2014-09-09,67
2014-09-10,62
2014-09-11,65
2014-09-12,77
2014-09-13,71
2014-09-14,64
2014-09-15,68
2014-09-16,58
2014-09-17,67
2014-09-18,67
2014-09-19,61
2014-09-20,66
2014-09-21,52
2014-09-22,76
2014-09-23,57
2014-09-24,55
2014-09-25,73
2014-09-26,69
2014-09-27,60
2014-09-28,57
2014-09-29,61
2014-09-30,75
2014-10-01,29
2014-10-02,46
2014-10-03,37
2014-10-04,39
2014-10-05,39
2014-10-06,31
2014-10-07,36
2014-10-08,33
2014-10-09,55
2014-10-10,100
2014-10-11,52
2014-10-12,45
2014-10-13,45
2014-10-14,37
2014-10-15,25
2014-10-16,38
2014-10-17,31
2014-10-18,39
2014-10-19,48
2014-10-20,33
2014-10-21,36
2014-10-22,37
2014-10-23,23
2014-10-24,33
2014-10-25,33
2014-10-26,39
2014-10-27,36
2014-10-28,35
2014-10-29,26
2014-10-30,30
2014-10-31,27
2014-11-01,88
2014-11-02,100
2014-11-03,76
2014-11-04,70
2014-11-05,80
2014-11-06,88
2014-11-07,81
2014-11-08,85
2014-11-09,71
2014-11-10,77
2014-11-11,71
2014-11-12,95
2014-11-13,73
2014-11-14,83
2014-11-15,68
2014-11-16,79
2014-11-17,49
2014-11-18,76
2014-11-19,73
2014-11-20,61
2014-11-21,80
2014-11-22,71
2014-11-23,69
2014-11-24,65
2014-11-25,62
2014-11-26,76
2014-11-27,85
2014-11-28,78
2014-11-29,80
2014-11-30,66
2014-12-01,51
2014-12-02,65
2014-12-03,49
2014-12-04,67
2014-12-05,53
2014-12-06,72
2014-12-07,70
2014-12-08,55
2014-12-09,52
2014-12-10,54
2014-12-11,44
2014-12-12,66
2014-12-13,36
2014-12-14,45
2014-12-15,60
2014-12-16,60
2014-12-17,48
2014-12-18,52
2014-12-19,62
2014-12-20,69
2014-12-21,69
2014-12-22,56
2014-12-23,72
2014-12-24,69
2014-12-25,68
2014-12-26,100
2014-12-27,90
2014-12-28,81
2014-12-29,66
2014-12-30,67
2014-12-31,69
2015-01-01,77
2015-01-02,50
2015-01-03,66
2015-01-04,55
2015-01-05,42
2015-01-06,52
2015-01-07,44
2015-01-08,71
2015-01-09,48
2015-01-10,61
2015-01-11,46
2015-01-12,65
2015-01-13,65
2015-01-14,88
2015-01-15,68
2015-01-16,53
2015-01-17,63
2015-01-18,56
